seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
666063	110	7	5	0	5	2	0	2	0	0	0
666063	111	5	2	0	2	3	0	3	0	0	0
666063	112	1	1	0	1	0	0	0	0	0	0
666063	113	5	3	0	3	2	0	2	0	0	0
666063	114	2	0	0	0	2	0	2	0	0	0
666063	115	2	0	0	0	2	0	2	0	0	0
666063	116	6	4	0	4	2	0	2	0	0	0
666063	117	6	3	0	3	3	0	3	0	0	0
666063	118	7	3	0	3	4	0	4	0	0	0
666063	119	6	3	0	3	3	0	3	0	0	0
666063	120	3	0	0	0	3	0	3	0	0	0
624553	0	0	0	0	0	0	0	0	0	0	0
624553	1	2	0	0	0	2	0	2	0	0	0
624553	2	4	1	0	1	3	0	3	0	0	0
624553	3	1	1	0	1	0	0	0	0	0	0
624553	4	0	0	0	0	0	0	0	0	0	0
624553	5	1	0	0	0	1	0	1	0	0	0
624553	6	2	2	0	2	0	0	0	0	0	0
624553	7	1	0	0	0	1	0	1	0	0	0
624553	8	0	0	0	0	0	0	0	0	0	0
624553	9	1	0	0	0	1	0	1	0	0	0
624553	10	0	0	0	0	0	0	0	0	0	0
624553	11	0	0	0	0	0	0	0	0	0	0
624553	12	1	0	0	0	1	0	1	0	0	0
624553	13	0	0	0	0	0	0	0	0	0	0
624553	14	0	0	0	0	0	0	0	0	0	0
624553	15	0	0	0	0	0	0	0	0	0	0
624553	16	0	0	0	0	0	0	0	0	0	0
624553	17	1	1	0	1	0	0	0	0	0	0
624553	18	2	1	0	1	1	0	1	0	0	0
624553	19	3	1	0	1	2	0	2	0	0	0
624553	20	3	1	0	1	2	0	2	0	0	0
624553	21	1	0	0	0	1	0	1	0	0	0
624553	22	1	1	0	1	0	0	0	0	0	0
624553	23	1	0	0	0	1	0	1	0	0	0
624553	24	0	0	0	0	0	0	0	0	0	0
624553	25	2	1	0	1	1	0	1	0	0	0
624553	26	5	2	0	2	3	0	3	0	0	0
624553	27	8	6	0	6	2	0	2	0	0	0
624553	28	9	5	0	5	4	0	4	0	0	0
624553	29	9	5	0	5	4	0	4	0	0	0
624553	30	9	4	0	4	5	0	5	0	0	0
624553	31	7	6	0	6	1	0	1	0	0	0
624553	32	1	0	0	0	1	0	1	0	0	0
624553	33	5	3	0	3	2	0	2	0	0	0
624553	34	3	1	0	1	2	0	2	0	0	0
624553	35	6	1	0	1	5	0	5	0	0	0
624553	36	4	3	0	3	1	0	1	0	0	0
624553	37	6	3	0	3	3	0	3	0	0	0
624553	38	10	6	0	6	4	0	4	0	0	0
624553	39	16	6	0	6	10	0	10	0	0	0
624553	40	8	4	0	4	4	0	4	0	0	0
624553	41	8	5	0	5	3	0	3	0	0	0
624553	42	9	4	0	4	5	0	5	0	0	0
624553	43	6	3	0	3	3	0	3	0	0	0
624553	44	6	2	0	2	4	0	4	0	0	0
624553	45	10	3	0	3	7	0	7	0	0	0
624553	46	12	5	0	5	7	0	7	0	0	0
624553	47	13	6	0	6	7	0	7	0	0	0
624553	48	10	7	0	7	3	0	3	0	0	0
624553	49	4	3	0	3	1	0	1	0	0	0
624553	50	7	3	0	3	4	0	4	0	0	0
624553	51	4	1	0	1	3	0	3	0	0	0
624553	52	4	1	0	1	3	0	3	0	0	0
624553	53	4	1	0	1	3	0	3	0	0	0
624553	54	8	3	0	3	5	0	5	0	0	0
624553	55	4	2	0	2	2	0	2	0	0	0
624553	56	8	3	0	3	5	0	5	0	0	0
624553	57	2	2	0	2	0	0	0	0	0	0
624553	58	6	3	0	3	3	0	3	0	0	0
624553	59	7	2	0	2	5	0	5	0	0	0
624553	60	7	4	0	4	3	0	3	0	0	0
624553	61	9	5	0	5	4	0	4	0	0	0
624553	62	9	4	0	4	5	0	5	0	0	0
624553	63	9	5	0	5	4	0	4	0	0	0
624553	64	7	4	0	4	3	0	3	0	0	0
624553	65	5	4	0	4	1	0	1	0	0	0
624553	66	2	0	0	0	2	0	2	0	0	0
624553	67	4	3	0	3	1	0	1	0	0	0
624553	68	6	1	0	1	5	0	5	0	0	0
624553	69	13	6	0	6	7	0	7	0	0	0
624553	70	7	5	0	5	2	0	2	0	0	0
624553	71	12	8	0	8	4	0	4	0	0	0
624553	72	11	7	0	7	4	0	4	0	0	0
624553	73	19	7	0	7	12	0	12	0	0	0
624553	74	13	5	0	5	8	0	8	0	0	0
624553	75	14	7	0	7	7	0	7	0	0	0
624553	76	11	6	0	6	5	0	5	0	0	0
624553	77	6	4	0	4	2	0	2	0	0	0
624553	78	2	2	0	2	0	0	0	0	0	0
624553	79	13	6	0	6	7	0	7	0	0	0
624553	80	12	7	0	7	5	0	5	0	0	0
624553	81	11	5	0	5	6	0	6	0	0	0
624553	82	9	5	0	5	4	0	4	0	0	0
624553	83	9	4	0	4	5	0	5	0	0	0
624553	84	5	4	0	4	1	0	1	0	0	0
624553	85	8	5	0	5	3	0	3	0	0	0
624553	86	6	4	0	4	2	0	2	0	0	0
624553	87	2	1	0	1	1	0	1	0	0	0
